rule,conf_pca
"<dbo:promotion>(a, b) <= <dbo:location>(a, f) & <dbo:location>(b, f)",4.4042e-05
"<dbo:island>(a, b) <= <dbo:country>(a, f) & <dbo:locatedInArea>(b, f)",4.4334e-05
"<dbo:viceChancellor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:state>(a, f)",4.5676e-05
"<dbo:influencedBy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",4.6549e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",4.6754e-05
"<dbo:subsidiary>(a, b) <= <dbo:location>(a, f) & <dbo:locationCountry>(b, f)",4.7524e-05
"<dbo:secondCommander>(a, b) <= <dbo:battle>(a, f) & <dbo:battle>(b, f)",4.8654e-05
"<dbo:influencedBy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",4.8722e-05
"<dbo:deputy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",4.8729e-05
"<dbo:governor>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",4.9454e-05
"<dbo:viceChancellor>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",4.9691e-05
"<dbo:deputy>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",5.1383e-05
"<dbo:employer>(a, b) <= <dbo:deathPlace>(a, f) & <dbo:location>(b, f)",5.2129e-05
"<dbo:associate>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:nationality>(a, f)",5.2392e-05
"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:residence>(b, f)",5.2688e-05
"<dbo:architect>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:location>(a, f)",5.2688e-05
"<dbo:placeOfBurial>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",5.3164e-05
"<dbo:deputy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",5.3597e-05
"<dbo:vicePresident>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:nationality>(a, f)",5.4123e-05
"<dbo:parentCompany>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",5.5704e-05
"<dbo:billed>(a, b) <= <dbo:billed>(a, f) & <dbo:country>(b, f)",5.5799e-05
"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:leaderName>(f, b)",5.6653e-05
"<dbo:creativeDirector>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",5.6676e-05
"<dbo:governor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:deathPlace>(a, f)",5.6833e-05
"<dbo:influencedBy>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:deathPlace>(a, f)",5.7008e-05
"<dbo:significantBuilding>(a, b) <= <dbo:location>(b, f) & <dbo:nationality>(a, f)",5.7411e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:nationality>(a, f) & <dbo:residence>(b, f)",5.8053e-05
"<dbo:affiliation>(a, b) <= <dbo:campus>(a, f) & <dbo:campus>(b, f)",5.8289e-05
"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:poleDriverCountry>(a, f)",5.8479e-05
"<dbo:municipality>(a, b) <= <dbo:timeZone>(a, f) & <dbo:timeZone>(b, f)",5.8533e-05
"<dbo:owningCompany>(a, b) <= <dbo:location>(b, f) & <dbo:locationCountry>(a, f)",5.9318e-05
"<dbo:child>(a, b) <= <dbo:occupation>(a, f) & <dbo:occupation>(b, f)",6.045e-05
"<dbo:employer>(a, b) <= <dbo:location>(b, f) & <dbo:residence>(a, f)",6.1415e-05
"<dbo:coach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:residence>(a, f)",6.29e-05
"<dbo:garrison>(a, b) <= <dbo:country>(b, f) & <dbo:garrison>(a, f)",6.2948e-05
"<dbo:parentCompany>(a, b) <= <dbo:location>(a, f) & <dbo:locationCountry>(b, f)",6.344e-05
"<dbo:viceChancellor>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",6.4405e-05
"<dbo:gameEngine>(a, b) <= <dbo:computingPlatform>(a, f) & <dbo:computingPlatform>(b, f)",6.4623e-05
"<dbo:sourcePlace>(a, b) <= <dbo:location>(b, f) & <dbo:state>(a, f)",6.4809e-05
"<dbo:coach>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",6.5735e-05
"<dbo:chairperson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:city>(a, f)",6.6173e-05
"<dbo:child>(a, b) <= <dbo:nationality>(a, f) & <dbo:stateOfOrigin>(b, f)",6.851e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:deathPlace>(a, f) & <dbo:nationality>(b, f)",6.883e-05
"<dbo:sourcePlace>(a, b) <= <dbo:country>(a, f) & <dbo:locatedInArea>(b, f)",6.8865e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:deathPlace>(a, f) & <dbo:residence>(b, f)",6.9329e-05
"<dbo:highestPlace>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:state>(a, f)",6.9936e-05
"<dbo:ceremonialCounty>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",7.0382e-05
"<dbo:owningCompany>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",7.0727e-05
"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:education>(a, f)",7.1225e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:residence>(b, f)",7.1342e-05
"<dbo:opponent>(a, b) <= <dbo:profession>(a, f) & <dbo:profession>(b, f)",7.1352e-05
"<dbo:leader>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",7.1521e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:nationality>(a, f)",7.1753e-05
"<dbo:formerChoreographer>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",7.3679e-05
"<dbo:governor>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",7.382e-05
"<dbo:governor>(a, b) <= <dbo:militaryBranch>(a, f) & <dbo:militaryBranch>(b, f)",7.4138e-05
